modelling_index,brand,year,model,title,used_or_new,transmission,engine_size_litres,drive_type,fuel_type,fuel_consumption_per_100km,kilometres,cylinders,body_type,doors,seats,price,colour_ext,colour_int,region,state,vehicle_age,km_per_year
0,MG,2022,MG3,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,1.5,Front,Premium,6.7,16,4,Hatchback,5,5,19990,Black,Black,Brookvale,NSW,1,16.0
1,BMW,2022,430I,2022 BMW 430I M Sport,USED,Automatic,2.0,Rear,Premium,6.6,8472,4,Coupe,2,4,108988,Grey,White,Sylvania,NSW,1,8472.0
2,Mercedes-Benz,2011,E500,2011 Mercedes-Benz E500 Elegance,USED,Automatic,5.5,Rear,Premium,11.0,136517,8,Coupe,2,4,32990,White,Brown,Mount Druitt,NSW,12,11376.416666666666
3,Renault,2022,Arkana,2022 Renault Arkana Intens,USED,Automatic,1.3,Front,Unleaded,6.0,1035,4,SUV,4,5,34990,Grey,Black,Castle Hill,NSW,1,1035.0
4,Toyota,2004,Estima,2004 Toyota Estima T EDITION,USED,Automatic,,Other,Unleaded,,160230,,Commercial,,,9990,Grey,,Saint Marys,NSW,19,8433.157894736842
5,Land,2017,Rover,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,2.0,AWD,Diesel,5.1,67662,4,SUV,2,4,62280,White,Black,Blacktown,NSW,6,11277.0
6,Nissan,2000,Pulsar,2000 Nissan Pulsar LX,USED,Automatic,1.6,Front,Unleaded,8.0,300539,4,Hatchback,5,5,2995,Red,Grey,Wentworthville,NSW,23,13066.91304347826
7,Toyota,2013,86,2013 Toyota 86 GT,USED,Automatic,2.0,Rear,Premium,7.1,82012,4,Coupe,2,4,24888,Black,,Mcgraths Hill,NSW,10,8201.2
8,Honda,2014,Jazz,2014 Honda Jazz Hybrid,USED,Automatic,1.3,Front,Hybrid,4.5,38229,4,Hatchback,5,5,17900,Blue,,Lidcombe,NSW,9,4247.666666666667
9,Toyota,2009,HiAce,2009 Toyota HiAce (No Badge),USED,Automatic,,Other,Unleaded,,148190,,Commercial,,,42500,White,,Lidcombe,NSW,14,10585.0
10,Toyota,2018,HiAce,2018 Toyota HiAce LWB,USED,Automatic,2.7,Rear,Unleaded,9.8,16324,4,Commercial,4,2,41999,White,Grey,Lidcombe,NSW,5,3264.8
11,Honda,2015,City,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,,Other,Unleaded,,181745,,,,,11999,Black,,Rouse Hill,NSW,8,22718.125
12,Toyota,2017,HiAce,2017 Toyota HiAce,USED,Automatic,,Other,,,136296,,,,,38999,Silver,Grey,Lidcombe,NSW,6,22716.0
